country,level,tier,sector,metric_family,metric,basis,unit,baseline_value,baseline_year,latest_value,latest_year,target_value,target_year,instrument,comparable,status,note,source_url
France,government,EU,Packaging,Recycling rate,Glass packaging waste recycled,"Glass contained in packaging waste generated, by weight",%,,,,,70,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Glass packaging waste recycled,"Glass contained in packaging waste generated, by weight",%,,,,,75,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Paper and cardboard packaging waste recycled,"Paper and cardboard contained in packaging waste generated, by weight",%,,,,,75,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Paper and cardboard packaging waste recycled,"Paper and cardboard contained in packaging waste generated, by weight",%,,,,,85,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Separate collection rate,Separate collection of single-use plastic beverage bottles up to 3 litres,% by weight of such products placed on the market that year,%,,,60,2022,77,2025,Single-Use Plastics Directive (EU) 2019/904 art.9,FALSE,verified,"Latest actual ~60% (2022, ecologie.gouv.fr), rounded and without a method statement.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019L0904
France,government,EU,Packaging,Separate collection rate,Separate collection of single-use plastic beverage bottles up to 3 litres,% by weight of such products placed on the market that year,%,,,,,90,2029,Single-Use Plastics Directive (EU) 2019/904 art.9,FALSE,verified,"Latest actual ~60% (2022, ecologie.gouv.fr), rounded and without a method statement.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019L0904
France,government,EU,Packaging,Recycling rate,Recycled plastic content in PET beverage bottles,Member-State-wide average across all PET bottles placed on the market,%,,,,,25,2025,Single-Use Plastics Directive (EU) 2019/904 art.6(5)(a),FALSE,verified,"Fleet average, not per bottle.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019L0904
France,government,EU,Packaging,Recycling rate,Recycled plastic content in beverage bottles,Member-State-wide average across all Part F beverage bottles placed on the market,%,,,,,30,2030,Single-Use Plastics Directive (EU) 2019/904 art.6(5)(b),FALSE,verified,"PPWR art.7 sets 30% on a per-unit/plant-averaged basis from 2030 - different denominator, overlap unresolved.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019L0904
France,government,EU,EEE,Separate collection rate,WEEE minimum collection rate,Average weight of EEE placed on market over the three preceding years,%,,,,,65,2019,WEEE Directive 2012/19/EU art.7(1),FALSE,verified,Member State may instead elect the 85%-of-WEEE-generated basis. The two are not equivalent.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32012L0019
France,government,EU,EEE,Separate collection rate,"WEEE minimum collection rate, alternative basis",WEEE generated on the territory,%,,,,,85,2019,WEEE Directive 2012/19/EU art.7(1),FALSE,verified,"Alternative to the 65% POM basis, not additional to it.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32012L0019
France,government,EU,Batteries,Separate collection rate,Waste portable battery collection rate,Waste portable batteries collected / average annual portable batteries placed on market over that and the two preceding years,%,,,,,45,2023,Batteries Regulation (EU) 2023/1542 art.59(1),FALSE,sourced,Rolling 3-year placed-on-market denominator.,https://environment.ec.europa.eu/news/new-rules-boost-recycling-efficiency-waste-batteries-2025-07-04_en
France,government,EU,Batteries,Separate collection rate,Waste portable battery collection rate,Waste portable batteries collected / average annual portable batteries placed on market over that and the two preceding years,%,,,,,63,2027,Batteries Regulation (EU) 2023/1542 art.59(1),FALSE,verified,Rolling 3-year placed-on-market denominator.,https://environment.ec.europa.eu/news/new-rules-boost-recycling-efficiency-waste-batteries-2025-07-04_en
France,government,EU,Batteries,Separate collection rate,Waste portable battery collection rate,Waste portable batteries collected / average annual portable batteries placed on market over that and the two preceding years,%,,,,,73,2030,Batteries Regulation (EU) 2023/1542 art.59(1),FALSE,verified,Rolling 3-year placed-on-market denominator.,https://environment.ec.europa.eu/news/new-rules-boost-recycling-efficiency-waste-batteries-2025-07-04_en
France,government,EU,Batteries,Separate collection rate,Waste LMT (light means of transport) battery collection rate,Same rolling 3-year placed-on-market construction as portable batteries,%,,,,,51,2028,Batteries Regulation (EU) 2023/1542 art.59(3),FALSE,verified,An automated read of EUR-Lex returned 65/75/85% for LMT - that is wrong; corroborated sources give 51/61.,https://environment.ec.europa.eu/news/new-rules-boost-recycling-efficiency-waste-batteries-2025-07-04_en
France,government,EU,Batteries,Separate collection rate,Waste LMT (light means of transport) battery collection rate,Same rolling 3-year placed-on-market construction as portable batteries,%,,,,,61,2031,Batteries Regulation (EU) 2023/1542 art.59(3),FALSE,verified,An automated read of EUR-Lex returned 65/75/85% for LMT - that is wrong; corroborated sources give 51/61.,https://environment.ec.europa.eu/news/new-rules-boost-recycling-efficiency-waste-batteries-2025-07-04_en
France,government,EU,End-of-life vehicles,Recycling rate,ELV reuse and recovery,Average weight per vehicle and year,%,,,,,95,2015,ELV Directive 2000/53/EC art.7(2)(b),FALSE,verified,Directive repealed from 1 Sep 2028 by Regulation (EU) 2026/1738; whether these rates carry over is unverified.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32000L0053
France,government,EU,End-of-life vehicles,Recycling rate,ELV reuse and recycling,Average weight per vehicle and year,%,,,,,85,2015,ELV Directive 2000/53/EC art.7(2)(b),FALSE,verified,Directive repealed from 1 Sep 2028 by Regulation (EU) 2026/1738; whether these rates carry over is unverified.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32000L0053
France,government,EU,Packaging,Reuse & preparation for reuse,Reduction in packaging waste generated per capita,kg of packaging waste per capita per year vs 2018,%,0,2018,,,5,2030,PPWR Regulation (EU) 2025/40 art.43,FALSE,verified,Directly applicable in France; applies from 12 Aug 2026.,https://eur-lex.europa.eu/eli/reg/2025/40/oj/eng
France,government,EU,Packaging,Reuse & preparation for reuse,Reduction in packaging waste generated per capita,kg of packaging waste per capita per year vs 2018,%,0,2018,,,10,2035,PPWR Regulation (EU) 2025/40 art.43,FALSE,verified,Directly applicable in France; applies from 12 Aug 2026.,https://eur-lex.europa.eu/eli/reg/2025/40/oj/eng
France,government,EU,Packaging,Reuse & preparation for reuse,Reduction in packaging waste generated per capita,kg of packaging waste per capita per year vs 2018,%,0,2018,,,15,2040,PPWR Regulation (EU) 2025/40 art.43,FALSE,verified,Directly applicable in France; applies from 12 Aug 2026.,https://eur-lex.europa.eu/eli/reg/2025/40/oj/eng
France,government,National,Packaging,Reuse & preparation for reuse,Fin de la mise sur le marche des emballages en plastique a usage unique,All single-use plastic packaging placed on the French market (absolute phase-out),%,,,,,100,2040,Loi AGEC n. 2020-105 art.7 (C. env. L541-10-17),FALSE,verified,Implemented via successive five-year decrees. Under active legislative challenge in the Senat as of 2026.,https://www.ecologie.gouv.fr/loi-anti-gaspillage-economie-circulaire
France,government,National,Packaging,Reuse & preparation for reuse,Reduction du nombre de bouteilles pour boisson en plastique a usage unique,"Number of bottles placed on market (units, not tonnage)",%,,2018,,,50,2030,Loi AGEC n. 2020-105 art.66,FALSE,sourced,"BASELINE CONTESTED: the statute appears silent; ADEME uses 2018, one Citeo document says 2010. No official tracking series found.",https://www.ordeec.org/fileadmin/user_upload/20220516_analyse_detaillee_loi_AGEC_VF.pdf
France,government,National,Packaging,Reuse & preparation for reuse,Reduction des emballages en plastique a usage unique,Tonnage of plastic in single-use packaging placed on market vs 2018 (household and professional),%,0,2018,-3.3,2021,20,2025,Decret n. 2021-517 du 29 avril 2021 (decret 3R),FALSE,verified,MOVING THE WRONG WAY: +3.3% between 2018 and 2021. ADEME: atteinte des objectifs fortement compromise. Latest value shown negative because the target is a reduction and the outturn was an increase.,https://www.ecologie.gouv.fr/sites/default/files/documents/ADEME_Bilan%20indicateurs%20decret%203R-Synthese.pdf
France,government,National,Packaging,Reuse & preparation for reuse,Part de la reduction obtenue par reemploi et reutilisation,"At least half of the 20% reduction, i.e. reuse must avoid single-use plastic equal to 10% of 2018 tonnage",%,,2018,,,10,2025,Decret n. 2021-517 du 29 avril 2021,FALSE,verified,,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043458675
France,government,National,Packaging,Reuse & preparation for reuse,Part des emballages reemployes mis en marche,"Unites de vente (or equivalent), NOT tonnage",%,,,1.1,2023,5,2023,Loi AGEC n. 2020-105 art.9 (C. env. L541-1 I 1),FALSE,verified,MISSED. Senat 2025 reports 1.1% for household packaging; the 3R bilan reports 2.2% for all packaging on self-declared incomplete data.,https://www.ecologie.gouv.fr/sites/default/files/documents/Annexes%20-%20Strategie%203R%20.pdf
France,government,National,Packaging,Reuse & preparation for reuse,Part des emballages reemployes mis en marche,"Unites de vente (or equivalent), NOT tonnage",%,,,,,10,2027,Loi AGEC n. 2020-105 art.9 (C. env. L541-1 I 1),FALSE,verified,,https://www.ecologie.gouv.fr/sites/default/files/documents/Annexes%20-%20Strategie%203R%20.pdf
France,government,National,All municipal waste,Collection coverage,Reduire les quantites de dechets menagers et assimiles produits par habitant,"DMA per inhabitant, mass, vs 2010",%,0,2010,,,15,2030,"C. env. L541-1 I 1 (loi TECV art.70, amended by loi AGEC art.3)",FALSE,verified,"REVISED: TECV originally set -10% by 2020; AGEC replaced it with -15% by 2030. No percentage-vs-2010 outturn is published, so none is recorded. For context ADEME reports 571 kg/inhab/yr of DMA produced in 2023 and 559 kg collected by the public service, against roughly 590 kg in 2010.",https://economie-circulaire.ademe.fr/indicateurs-cles-dma
France,government,National,All non-hazardous waste,Recycling rate,Valorisation sous forme de matiere des dechets non dangereux non inertes,"Non-hazardous non-inert waste, by mass",%,,,45.5,2022,55,2020,C. env. L541-1 I 4 (loi TECV n. 2015-992 art.70),FALSE,verified,MISSED. 45% (ADEME) to 46% (notre-environnement) in 2022; 45.5 recorded here as the midpoint of the two published figures.,https://www.notre-environnement.gouv.fr/actualites/breves/article/pres-d-1-kg-de-dechet-sur-2-est-recycle-comment-aller-plus-loin
France,government,National,All non-hazardous waste,Recycling rate,Valorisation sous forme de matiere des dechets non dangereux non inertes,"Non-hazardous non-inert waste, by mass",%,,,45.5,2022,65,2025,C. env. L541-1 I 4 (loi TECV n. 2015-992 art.70),FALSE,verified,Ministry's own portal states this is unlikely to be met.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,All municipal waste,Recycling rate,Preparation en vue de la reutilisation ou d'un recyclage des DMA,"Dechets menagers et assimiles, by mass",%,,,,,55,2025,C. env. L541-1 I 4 bis (loi AGEC),FALSE,verified,National mirror of the EU Waste Framework Directive municipal targets.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,All municipal waste,Recycling rate,Preparation en vue de la reutilisation ou d'un recyclage des DMA,"Dechets menagers et assimiles, by mass",%,,,,,60,2030,C. env. L541-1 I 4 bis (loi AGEC),FALSE,verified,National mirror of the EU Waste Framework Directive municipal targets.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,All municipal waste,Recycling rate,Preparation en vue de la reutilisation ou d'un recyclage des DMA,"Dechets menagers et assimiles, by mass",%,,,,,65,2035,C. env. L541-1 I 4 bis (loi AGEC),FALSE,verified,National mirror of the EU Waste Framework Directive municipal targets.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,All non-hazardous waste,Landfill diversion,Reduire les quantites de dechets non dangereux non inertes admis en installation de stockage,Tonnage admitted to landfill vs 2010,%,0,2010,,,30,2020,C. env. L541-1 I 7 (loi TECV n. 2015-992 art.70),FALSE,verified,"13.9 Mt admitted to landfill in 2023 (ADEME). The 2020 step was missed; no published % vs 2010 was found, so no latest_value is given rather than computing one.",https://economie-circulaire.ademe.fr/indicateurs-cles-dma
France,government,National,All non-hazardous waste,Landfill diversion,Reduire les quantites de dechets non dangereux non inertes admis en installation de stockage,Tonnage admitted to landfill vs 2010,%,0,2010,,,50,2025,C. env. L541-1 I 7 (loi TECV n. 2015-992 art.70),FALSE,verified,"13.9 Mt admitted to landfill in 2023 (ADEME). The 2020 step was missed; no published % vs 2010 was found, so no latest_value is given rather than computing one.",https://economie-circulaire.ademe.fr/indicateurs-cles-dma
France,government,National,All municipal waste,Landfill diversion,Reduire les quantites de DMA admis en installation de stockage,"10% of DMA PRODUCED, by mass - a share of production, not a reduction vs a baseline year",%,,,24.3,2022,10,2035,C. env. L541-1 I 7 bis (loi AGEC art.10),FALSE,verified,Most commonly mis-stated French target. latest_value is municipal waste landfilled; the DMA denominator may differ slightly.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,All municipal waste,Reuse & preparation for reuse,Augmenter la quantite de dechets faisant l'objet de preparation a la reutilisation,5% of the tonnage of household waste,%,,,,,5,2030,C. env. L541-1 I 3 (loi AGEC),FALSE,verified,No baseline year stated in the text. No national measured value published.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,government,National,Construction,Recycling rate,Valoriser sous forme de matiere les dechets du secteur du batiment et des travaux publics,"BTP-sector waste, by mass",%,,,,,70,2020,C. env. L541-1 I 6 (loi TECV n. 2015-992 art.70),FALSE,verified,No measured outturn found.,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000043974936
France,sector,Sector agreement,Packaging,Reuse & preparation for reuse,Reduction de mises sur le marche des emballages menagers,Tonnage mis sur le marche vs 2010,%,0,2010,,,15,2030,"REP EMPAP, arrete du 7 decembre 2023 (agrement 2025-2029)",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Steel,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,80,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Steel,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,84,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Aluminium,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,50,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Aluminium,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,58,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Paper and cardboard,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,75,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Paper and cardboard,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,83,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Plastic,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,50,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Plastic,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,54,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Glass,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,80,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de recyclage - Glass,Reported by ADEME against flux collectes - DENOMINATOR UNCONFIRMED,%,,,,,88,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,sourced,"ADEME's page states these are against collected flows, which is unusual - EU packaging rates are normally against tonnage placed on market. Check arrete du 7 dec 2023 before citing.",https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de collecte pour recyclage - bouteilles plastique boisson,% of bottles placed on market,%,,,,,77,2025,"REP EMPAP, arrete du 7 decembre 2023",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,Packaging,Recycling rate,Taux de collecte pour recyclage - bouteilles plastique boisson,% of bottles placed on market,%,,,,,90,2029,"REP EMPAP, arrete du 7 decembre 2023",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
France,sector,Sector agreement,EEE,Separate collection rate,"Taux de collecte, categories 1-6 et 8",Moyenne des quantites mises sur le marche les 3 annees precedentes,%,,,56.2,2024,65,2024,"REP EEE, arrete du 27 octobre 2021 (agrement 2022-2027)",FALSE,verified,MISSED by ~9 points. 2.28 Mt placed on market in 2024. Excludes photovoltaic panels.,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
France,sector,Sector agreement,EEE,Separate collection rate,"Taux de collecte, categorie 7 (panneaux photovoltaiques)",Estimated waste arisings (not placed on market),%,,,,,85,2024,"REP EEE, arrete du 27 octobre 2021",FALSE,verified,Different denominator from categories 1-6 and 8 within the same filiere.,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
France,sector,Sector agreement,EEE,Recycling rate,"Taux de valorisation, categories 1-6 et 8","Collected WEEE, per category",%,,,91.3,2024,85,2024,"REP EEE, arrete du 27 octobre 2021",FALSE,verified,MET.,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
France,sector,Sector agreement,EEE,Reuse & preparation for reuse,Preparation au reemploi et a la reutilisation,Collected WEEE,%,,,,,2,2024,"REP EEE, arrete du 27 octobre 2021",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
France,sector,Sector agreement,Textiles,Separate collection rate,Taux de collecte,"% of tonnage placed on market, averaged over N-3 to N-1",%,,,36.5,2024,60,2028,"REP TLC, arrete du 23 novembre 2022 (Refashion, agrement 2023-2028)",FALSE,verified,"886,000 t placed on market in 2024. Far off trajectory.",https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
France,sector,Sector agreement,Textiles,Landfill diversion,Taux d'elimination maximal,% of collected tonnage,%,,,0.8,2024,0.5,2028,"REP TLC, arrete du 23 novembre 2022",FALSE,verified,EXCEEDED - 0.8% against a 0.5% cap. Lower is better.,https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
France,sector,Sector agreement,Textiles,Recycling rate,Taux de recyclage,"% of collected and sorted, excluding reuse and non-REP items",%,,,,,70,2027,"REP TLC, arrete du 23 novembre 2022",FALSE,sourced,"ADEME shows a 70-80% range, likely per-flow sub-targets; the lower bound is recorded here. Verify against the arrete.",https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
France,sector,Sector agreement,Textiles,Reuse & preparation for reuse,Reemploi et reutilisation,"Absolute tonnage (kt), not a rate",Mt,,,,,0.12,2024,"REP TLC, arrete du 23 novembre 2022",FALSE,verified,"120,000 t, of which 8% sourced within 1,500 km. Recorded in Mt for unit consistency.",https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
France,sector,Sector agreement,Furniture,Separate collection rate,Taux de collecte,Annual average tonnage placed on market over N-1 and N-2,%,,,,,45,2024,"REP EA, arrete du 12 octobre 2023 (agrement 2024-2029)",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
France,sector,Sector agreement,Furniture,Separate collection rate,Taux de collecte,Annual average tonnage placed on market over N-1 and N-2,%,,,,,48,2026,"REP EA, arrete du 12 octobre 2023 (agrement 2024-2029)",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
France,sector,Sector agreement,Furniture,Separate collection rate,Taux de collecte,Annual average tonnage placed on market over N-1 and N-2,%,,,,,51,2028,"REP EA, arrete du 12 octobre 2023 (agrement 2024-2029)",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
France,sector,Sector agreement,Furniture,Recycling rate,Taux de recyclage,"Waste entering recycling installations / waste collected, excluding reuse",%,,,,,51,2024,"REP EA, arrete du 12 octobre 2023",FALSE,verified,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
